date,ticker,entry_price,z_vol,z_range,z_flow,z_lambda,entry_status,initial_score,price_d1,price_d3,price_d5,return_d1,return_d3,return_d5,is_completed
2026-09-11,HUM,408.895,-1.77,6.0,2.02,0.78,🎯 İDEAL GİRİŞ BÖLGESİ,70.0,,,,,,,0
2026-09-11,MRVL,238.62,-1.47,6.0,2.69,0.1,NORMAL GİRİŞ,69.4,,,,,,,0
2026-09-11,ACN,181.36,-1.8,5.24,3.51,0.39,🎯 İDEAL GİRİŞ BÖLGESİ,69.3,,,,,,,0
2026-09-11,ADSK,213.565,-1.76,6.0,3.12,0.26,NORMAL GİRİŞ,68.5,,,,,,,0
2026-09-11,CDNS,289.82,-1.8,6.0,2.14,0.37,🎯 İDEAL GİRİŞ BÖLGESİ,67.8,,,,,,,0
2026-09-11,CBRS,195.6,-1.87,6.0,2.33,0.32,🎯 İDEAL GİRİŞ BÖLGESİ,67.5,,,,,,,0
2026-09-11,HONA,156.87,-1.7,5.38,2.57,0.53,🎯 İDEAL GİRİŞ BÖLGESİ,67.3,,,,,,,0
2026-09-11,EMR,151.835,-1.72,2.46,2.87,0.92,🎯 İDEAL GİRİŞ BÖLGESİ,66.9,,,,,,,0
2026-09-11,CRM,248.89,-1.99,6.0,2.8,0.11,🎯 İDEAL GİRİŞ BÖLGESİ,66.4,,,,,,,0
2026-09-11,ROST,228.655,-1.86,6.0,2.78,0.52,NORMAL GİRİŞ,66.2,,,,,,,0
2026-09-11,VLO,395.44,-0.92,6.0,1.96,0.18,🎯 İDEAL GİRİŞ BÖLGESİ,66.0,,,,,,,0
2026-09-11,JCI,146.1775,-1.86,2.65,3.25,0.9,🎯 İDEAL GİRİŞ BÖLGESİ,65.9,,,,,,,0
2026-09-11,PM,193.6,-0.98,6.0,1.9,0.21,🎯 İDEAL GİRİŞ BÖLGESİ,65.8,,,,,,,0
2026-09-11,APH,83.7,-1.65,2.17,2.61,0.58,🎯 İDEAL GİRİŞ BÖLGESİ,65.4,,,,,,,0
2026-09-11,NVT,160.895,-1.95,6.0,1.5,1.22,🎯 İDEAL GİRİŞ BÖLGESİ,65.0,,,,,,,0
